;SoC;Charge;Discharge;Energy prices;Cash flow
124;2.575;11.5;0.0;0.1701;-1.95615
125;13.5;0.0;0.0;0.19438;0.0
126;13.5;0.0;0.0;0.20422;0.0
127;13.5;0.0;0.0;0.22825;0.0
128;13.5;0.0;0.0;0.24098;0.0
129;13.5;0.0;11.5;0.25744;2.96056
130;1.39473684210526;0.0;1.325;0.24524;0.324943
131;0.0;0.0;0.0;0.2319;0.0
132;0.0;0.0;0.0;0.226;0.0
133;0.0;11.5;0.0;0.2092;-2.4058
134;10.925;2.71052631578947;0.0;0.21606;-0.5856363157894728
135;13.5;0.0;0.0;0.23077;0.0
136;13.5;0.0;0.0;0.24595;0.0
137;13.5;0.0;1.325;0.27411;0.36319575000000004
138;12.1052631578947;0.0;0.0;0.27344;0.0
139;12.1052631578947;0.0;11.5;0.27836;3.20114
140;0.0;0.0;0.0;0.25171;0.0
141;0.0;0.0;0.0;0.22996;0.0
142;0.0;0.0;0.0;0.21644;0.0
143;0.0;0.0;11.5;0.21;2.415
144;0.0;0.0;0.0;0.21347;0.0
145;0.0;0.0;0.0;0.189;0.0
146;0.0;0.0;0.0;0.18;0.0
147;0.0;2.71052631578947;0.0;0.16490000000000002;-0.44696578947368365
148;2.575;11.5;0.0;0.1628;-1.8722
149;13.5;0.0;0.0;0.165;0.0
150;13.5;0.0;0.0;0.16519999999999999;0.0
151;13.5;0.0;0.0;0.21589;0.0
152;13.5;0.0;1.325;0.25418999999999997;0.33680174999999996
153;12.1052631578947;0.0;11.5;0.25724;2.95826
154;0.0;0.0;0.0;0.25418;0.0
155;0.0;0.0;0.0;0.24122;0.0
156;0.0;0.0;0.0;0.2402;0.0
157;0.0;0.0;0.0;0.21269;0.0
158;0.0;11.5;0.0;0.20705;-2.381075
159;10.925;2.71052631578947;0.0;0.21011000000000002;-0.5695086842105256
160;13.5;0.0;0.0;0.22021000000000002;0.0
161;13.5;0.0;0.0;0.24384;0.0
162;13.5;0.0;11.5;0.26;2.99
163;1.39473684210526;0.0;1.325;0.25;0.33125
164;0.0;0.0;0.0;0.23909;0.0
165;0.0;0.0;0.0;0.21381;0.0
166;0.0;0.0;0.0;0.21613;0.0
167;0.0;0.0;11.5;0.20574;2.36601
168;0.0;0.0;0.0;0.18496;0.0
169;0.0;0.0;0.0;0.16279;0.0
170;0.0;0.0;0.0;0.166;0.0
171;0.0;0.0;0.0;0.16163;0.0
172;0.0;2.71052631578947;0.0;0.16;-0.4336842105263152
173;2.575;11.5;0.0;0.15430000000000002;-1.7744500000000003
174;13.5;0.0;0.0;0.166;0.0
175;13.5;0.0;0.0;0.18291;0.0
176;13.5;0.0;0.0;0.21589;0.0
177;13.5;0.0;11.5;0.231;2.6565000000000003
178;1.39473684210526;0.0;1.325;0.22895;0.30335874999999995
179;0.0;0.0;0.0;0.21539;0.0
180;0.0;0.0;0.0;0.20668;0.0
181;0.0;0.0;0.0;0.185;0.0
182;0.0;0.0;0.0;0.16952;0.0
183;0.0;2.71052631578947;0.0;0.1628;-0.4412736842105257
184;2.575;11.5;0.0;0.16172999999999998;-1.8598949999999999
185;13.5;0.0;11.5;0.1899;2.18385
186;1.39473684210526;0.0;1.325;0.18916;0.250637
187;0.0;0.0;0.0;0.18553;0.0
188;0.0;0.0;0.0;0.15947;0.0
189;0.0;0.0;0.0;0.12609;0.0
190;0.0;0.0;0.0;0.12373;0.0
191;0.0;0.0;11.5;0.14794;1.7013099999999999
192;0.0;0.0;0.0;0.10918000000000001;0.0
193;0.0;0.0;0.0;0.08961;0.0
